@relation 'pacmanwithfood-weka.filters.unsupervised.attribute.Remove-R1-2,11-18,31-34'

@attribute goWest {T,F}
@attribute goEast {T,F}
@attribute goNorth {T,F}
@attribute goSouth {T,F}
@attribute ghost1 {T,F}
@attribute ghost2 {T,F}
@attribute ghost3 {T,F}
@attribute ghost4 {T,F}
@attribute disttoghost1 {0,1,2,3}
@attribute disttoghost2 {0,1,2,3}
@attribute disttoghost3 {0,1,2,3}
@attribute disttoghost4 {0,1,2,3}
@attribute direction_ghost1 {West,Stop,East,North,South}
@attribute direction_ghost2 {West,Stop,East,North,South}
@attribute direction_ghost3 {West,Stop,East,North,South}
@attribute direction_ghost4 {West,Stop,East,North,South}
@attribute best_dir_to_g1 {West,East,North,South,None}
@attribute best_dir_to_g2 {West,East,North,South,None}
@attribute best_dir_to_g3 {West,East,North,South,None}
@attribute best_dir_to_g4 {West,East,North,South,None}
@attribute direction {West,East,North,South}

@data
T,T,T,T,T,T,T,T,3,2,1,0,Stop,Stop,Stop,Stop,West,North,East,North,North
T,T,T,T,T,T,T,T,3,1,2,0,Stop,Stop,Stop,Stop,West,West,East,East,East
T,T,T,T,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,South,None,South
T,T,T,T,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,North,South,None,South
T,T,T,T,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,North,South,None,South
T,T,T,T,T,T,T,F,1,2,0,3,Stop,Stop,Stop,Stop,West,North,South,None,South
T,T,T,T,T,T,T,F,1,2,0,3,Stop,Stop,Stop,Stop,West,North,South,None,South
T,T,T,T,T,T,T,F,1,2,0,3,Stop,Stop,Stop,Stop,West,North,South,None,South
T,T,T,T,T,T,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,North,None,None,West
T,T,T,T,T,T,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,North,None,None,West
T,T,T,T,T,T,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,North,None,None,West
T,T,T,T,T,T,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,North,None,None,West
T,T,T,T,T,T,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,North,None,None,West
T,T,T,T,T,T,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,North,None,None,West
T,T,T,T,T,T,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,North,None,None,West
T,T,T,T,T,T,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,North,None,None,West
T,T,T,T,F,T,F,F,1,0,2,3,Stop,Stop,Stop,Stop,None,North,None,None,North
T,T,T,T,F,T,F,F,1,0,2,3,Stop,Stop,Stop,Stop,None,North,None,None,North
T,T,T,T,F,T,F,F,1,0,2,3,Stop,Stop,Stop,Stop,None,North,None,None,North
T,T,F,T,F,T,F,F,1,0,2,3,Stop,Stop,Stop,Stop,None,East,None,None,East
T,T,T,T,F,T,F,F,1,0,2,3,Stop,Stop,Stop,Stop,None,North,None,None,North
F,T,T,T,F,T,F,F,1,0,2,3,Stop,Stop,Stop,Stop,None,North,None,None,North
T,T,F,F,T,T,T,T,2,0,1,3,Stop,Stop,Stop,Stop,West,East,East,East,East
