@relation 'pacmanwithfood-weka.filters.unsupervised.attribute.Remove-R1-2,11-18,33-34-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,22'

@attribute goWest {T,F}
@attribute goEast {T,F}
@attribute goNorth {T,F}
@attribute goSouth {T,F}
@attribute ghost1 {T,F}
@attribute ghost2 {T,F}
@attribute ghost3 {T,F}
@attribute ghost4 {T,F}
@attribute disttoghost1 {0,1,2,3}
@attribute disttoghost2 {0,1,2,3}
@attribute disttoghost3 {0,1,2,3}
@attribute disttoghost4 {0,1,2,3}
@attribute direction_ghost1 {West,Stop,East,North,South}
@attribute direction_ghost2 {West,Stop,East,North,South}
@attribute direction_ghost3 {West,Stop,East,North,South}
@attribute direction_ghost4 {West,Stop,East,North,South}
@attribute best_dir_to_g1 {West,East,North,South,None}
@attribute best_dir_to_g2 {West,East,North,South,None}
@attribute best_dir_to_g3 {West,East,North,South,None}
@attribute best_dir_to_g4 {West,East,North,South,None}
@attribute score numeric
@attribute direction {West,East,North,South}
@attribute score1 numeric

@data
T,T,T,T,T,T,T,T,3,2,1,0,Stop,Stop,Stop,Stop,West,North,East,North,-1,North,-2
T,T,T,T,T,T,T,T,3,1,2,0,Stop,Stop,Stop,Stop,West,West,East,East,-2,East,197
T,T,T,T,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,West,South,None,197,South,196
T,T,T,T,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,North,South,None,196,South,195
T,T,T,T,T,T,T,F,2,1,0,3,Stop,Stop,Stop,Stop,West,North,South,None,195,South,194
T,T,T,T,T,T,T,F,1,2,0,3,Stop,Stop,Stop,Stop,West,North,South,None,194,South,193
T,T,T,T,T,T,T,F,1,2,0,3,Stop,Stop,Stop,Stop,West,North,South,None,193,South,192
T,T,T,T,T,T,T,F,1,2,0,3,Stop,Stop,Stop,Stop,West,North,South,None,192,South,391
T,T,T,T,T,T,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,North,None,None,391,West,390
T,T,T,T,T,T,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,North,None,None,390,West,389
T,T,T,T,T,T,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,North,None,None,389,West,388
T,T,T,T,T,T,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,North,None,None,388,West,387
T,T,T,T,T,T,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,North,None,None,387,West,386
T,T,T,T,T,T,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,North,None,None,386,West,385
T,T,T,T,T,T,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,North,None,None,385,West,384
T,T,T,T,T,T,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,North,None,None,384,West,583
T,T,T,T,F,T,F,F,1,0,2,3,Stop,Stop,Stop,Stop,None,North,None,None,583,North,582
T,T,T,T,F,T,F,F,1,0,2,3,Stop,Stop,Stop,Stop,None,North,None,None,582,North,581
T,T,T,T,F,T,F,F,1,0,2,3,Stop,Stop,Stop,Stop,None,North,None,None,581,North,580
T,T,F,T,F,T,F,F,1,0,2,3,Stop,Stop,Stop,Stop,None,East,None,None,580,East,579
T,T,T,T,F,T,F,F,1,0,2,3,Stop,Stop,Stop,Stop,None,North,None,None,579,North,578
F,T,T,T,F,T,F,F,1,0,2,3,Stop,Stop,Stop,Stop,None,North,None,None,578,North,577
T,T,F,F,T,T,T,T,2,0,1,3,Stop,Stop,Stop,Stop,West,East,East,East,-1,East,-2
T,T,F,F,T,T,T,T,2,0,1,3,Stop,Stop,Stop,Stop,East,East,East,East,-2,East,-3
T,T,F,F,T,T,T,T,2,0,1,3,Stop,Stop,Stop,Stop,East,East,East,East,-3,East,-4
T,T,F,T,T,T,T,T,2,0,1,3,Stop,Stop,Stop,Stop,East,East,East,East,-4,East,-5
T,T,F,T,T,T,T,T,2,0,1,3,Stop,Stop,Stop,Stop,South,South,East,East,-5,East,-6
T,T,F,F,T,T,T,T,2,1,0,3,Stop,Stop,Stop,Stop,West,West,East,East,-6,East,193
T,T,F,F,T,T,F,T,2,0,3,1,Stop,Stop,Stop,Stop,East,West,None,East,193,West,192
T,T,F,F,T,T,F,T,1,0,3,2,Stop,Stop,Stop,Stop,West,West,None,East,192,West,191
T,T,F,T,T,T,F,T,1,0,3,2,Stop,Stop,Stop,Stop,South,South,None,East,191,South,190
T,F,T,T,T,T,F,T,1,0,3,2,Stop,Stop,Stop,Stop,South,South,None,South,190,South,389
T,T,T,T,T,F,F,T,0,2,3,1,Stop,Stop,Stop,Stop,East,None,None,East,389,East,388
T,T,F,T,T,F,F,T,0,2,3,1,Stop,Stop,Stop,Stop,East,None,None,East,388,East,387
T,T,F,T,T,F,F,T,0,2,3,1,Stop,Stop,Stop,Stop,South,None,None,East,387,South,386
T,T,T,T,T,F,F,T,0,2,3,1,Stop,Stop,Stop,Stop,South,None,None,North,386,South,385
T,T,T,T,T,F,F,T,0,2,3,1,Stop,Stop,Stop,Stop,South,None,None,East,385,South,384
F,T,T,T,T,F,F,T,0,2,3,1,Stop,Stop,Stop,Stop,South,None,None,East,384,South,383
T,T,T,T,T,F,F,T,0,2,3,1,Stop,Stop,Stop,Stop,West,None,None,East,383,West,382
T,T,F,T,T,F,F,T,0,2,3,1,Stop,Stop,Stop,Stop,West,None,None,East,382,West,581
T,T,F,T,F,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,None,None,None,East,581,East,580
T,T,F,T,F,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,None,None,None,East,580,East,579
T,T,T,T,F,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,None,None,None,East,579,East,578
T,T,T,T,F,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,None,None,None,East,578,East,577
T,T,T,T,F,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,None,None,None,East,577,East,576
T,T,F,T,F,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,None,None,None,East,576,East,575
T,T,F,F,F,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,None,None,None,East,575,East,574
T,T,F,F,T,T,T,T,0,1,2,3,Stop,Stop,Stop,Stop,West,West,West,East,99,West,198
T,T,F,F,T,T,T,T,0,1,2,3,Stop,Stop,Stop,Stop,West,West,West,East,198,West,297
F,T,T,F,T,T,T,T,0,1,2,3,Stop,Stop,Stop,Stop,North,North,North,North,297,North,396
F,F,T,T,T,T,T,T,0,1,2,3,Stop,Stop,Stop,Stop,North,North,North,North,396,North,495
T,T,T,T,T,T,T,T,0,1,2,3,Stop,Stop,Stop,Stop,West,North,North,North,495,West,594
T,T,F,F,T,T,T,T,0,1,2,3,Stop,Stop,Stop,Stop,West,East,East,East,594,West,693
T,T,F,T,T,T,T,T,0,1,2,3,Stop,Stop,Stop,Stop,West,East,East,East,693,West,892
F,T,T,F,F,T,T,T,3,0,1,2,Stop,Stop,Stop,Stop,None,North,North,North,892,North,991
F,F,T,T,F,T,T,T,3,0,1,2,Stop,Stop,Stop,Stop,None,North,North,North,991,North,1090
T,T,T,T,F,T,T,T,3,0,1,2,Stop,Stop,Stop,Stop,None,North,North,North,1090,North,1189
F,F,T,T,F,T,T,T,3,0,1,2,Stop,Stop,Stop,Stop,None,North,North,North,1189,North,1288
F,T,F,T,F,T,T,T,3,0,1,2,Stop,Stop,Stop,Stop,None,East,East,East,1288,East,1387
T,T,T,F,F,T,T,T,3,0,1,2,Stop,Stop,Stop,Stop,None,East,East,East,1387,East,1486
T,T,F,F,F,T,T,T,3,0,1,2,Stop,Stop,Stop,Stop,None,East,East,East,1486,East,1585
T,T,T,T,F,T,T,T,3,0,1,2,Stop,Stop,Stop,Stop,None,East,East,East,1585,East,1684
T,T,F,F,F,T,T,T,3,0,1,2,Stop,Stop,Stop,Stop,None,East,East,East,1684,East,1783
T,T,F,F,F,T,T,T,3,0,1,2,Stop,Stop,Stop,Stop,None,East,East,East,1783,East,1882
T,T,F,T,F,T,T,T,3,0,1,2,Stop,Stop,Stop,Stop,None,South,East,East,1882,South,1881
F,T,T,T,F,T,T,T,3,0,1,2,Stop,Stop,Stop,Stop,None,South,East,North,1881,South,1880
T,T,T,F,F,T,T,T,3,0,1,2,Stop,Stop,Stop,Stop,None,West,East,North,1880,West,2079
T,T,F,F,T,T,T,T,1,0,2,3,Stop,Stop,Stop,Stop,West,West,West,East,99,West,198
T,T,F,F,T,T,T,T,1,0,2,3,Stop,Stop,Stop,Stop,West,West,West,East,198,West,297
T,T,T,F,T,T,T,T,1,0,2,3,Stop,Stop,Stop,Stop,North,North,North,North,297,North,396
F,F,T,T,T,T,T,T,1,0,2,3,Stop,Stop,Stop,Stop,North,North,North,North,396,North,495
F,T,T,T,T,T,T,T,1,0,2,3,Stop,Stop,Stop,Stop,North,East,East,East,495,East,594
T,T,F,F,T,T,T,T,2,0,1,3,Stop,Stop,Stop,Stop,West,East,East,East,594,East,693
T,T,F,F,T,T,T,T,2,0,1,3,Stop,Stop,Stop,Stop,West,East,East,East,693,East,792
T,T,T,F,T,T,T,T,2,0,1,3,Stop,Stop,Stop,Stop,West,North,North,East,792,North,791
F,T,T,T,T,T,T,T,2,0,1,3,Stop,Stop,Stop,Stop,South,North,North,East,791,North,790
T,T,F,T,T,T,T,T,2,0,1,3,Stop,Stop,Stop,Stop,South,West,East,East,790,West,989
F,T,F,F,T,F,T,T,1,3,0,2,Stop,Stop,Stop,Stop,East,None,East,East,989,East,988
T,T,F,T,T,F,T,T,1,3,0,2,Stop,Stop,Stop,Stop,South,None,East,East,988,East,987
T,T,F,T,T,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,West,None,East,South,987,East,1186
T,F,F,F,T,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,West,None,None,West,1186,West,1185
T,T,F,T,T,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,West,None,None,South,1185,South,1184
T,F,T,T,T,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,West,None,None,South,1184,South,1283
T,T,T,F,T,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,West,None,None,East,1283,East,1382
T,T,F,F,T,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,West,None,None,East,1382,East,1481
T,T,F,F,T,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,West,None,None,East,1481,East,1580
T,F,T,T,T,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,West,None,None,North,1580,North,1679
F,T,T,T,T,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,South,None,None,North,1679,North,1778
F,T,F,T,T,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,South,None,None,East,1778,East,1877
T,T,F,T,T,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,West,None,None,East,1877,East,1976
T,T,F,T,T,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,West,None,None,East,1976,East,2075
T,T,F,F,T,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,West,None,None,East,2075,East,2174
T,T,F,F,T,F,F,T,1,2,3,0,Stop,Stop,Stop,Stop,West,None,None,East,2174,East,2373
T,F,F,T,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,None,None,None,2373,West,2372
T,T,F,F,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,None,None,None,2372,West,2371
T,T,F,F,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,None,None,None,2371,West,2370
T,T,F,T,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,None,None,None,2370,West,2369
T,T,F,T,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,None,None,None,2369,West,2368
F,T,F,T,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,South,None,None,None,2368,South,2367
F,T,T,T,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,South,None,None,None,2367,South,2366
T,F,T,T,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,None,None,None,2366,West,2365
T,T,F,F,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,None,None,None,2365,West,2364
T,T,F,F,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,None,None,None,2364,West,2363
T,T,T,F,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,None,None,None,2363,West,2362
T,T,T,F,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,None,None,None,2362,West,2361
T,T,F,F,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,None,None,None,2361,West,2360
T,T,F,F,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,None,None,None,2360,West,2359
F,T,T,T,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,North,None,None,None,2359,North,2458
T,F,T,T,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,North,None,None,None,2458,North,2557
T,F,F,T,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,None,None,None,2557,West,2656
T,T,F,T,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,None,None,None,2656,West,2755
T,T,F,T,T,F,F,F,0,1,2,3,Stop,Stop,Stop,Stop,West,None,None,None,2755,West,2854
F,F,T,T,T,T,T,T,0,1,2,3,Stop,Stop,Stop,Stop,South,South,South,South,-1,South,-2
F,T,T,T,T,T,T,T,0,1,2,3,Stop,Stop,Stop,Stop,South,East,East,East,-2,South,-3
F,T,T,T,T,T,T,T,0,1,2,3,Stop,Stop,Stop,Stop,South,East,East,East,-3,South,-4
F,T,T,T,T,T,T,T,0,1,2,3,Stop,Stop,Stop,Stop,South,East,East,East,-4,South,-5
F,F,T,T,T,T,T,T,0,1,2,3,Stop,Stop,Stop,Stop,South,South,South,South,-5,South,-6
