@relation 'pacmanKeyboard-weka.filters.unsupervised.attribute.Remove-R1-2,11-18,31-34'

@attribute goWest {T,F}
@attribute goEast {T,F}
@attribute goNorth {T,F}
@attribute goSouth {T,F}
@attribute ghost1 {T,F}
@attribute ghost2 {T,F}
@attribute ghost3 {T,F}
@attribute ghost4 {T,F}
@attribute disttoghost1 {0,1,2,3}
@attribute disttoghost2 {0,1,2,3}
@attribute disttoghost3 {0,1,2,3}
@attribute disttoghost4 {0,1,2,3}
@attribute direction_ghost1 {West,Stop,East,North,South}
@attribute direction_ghost2 {West,Stop,East,North,South}
@attribute direction_ghost3 {West,Stop,East,North,South}
@attribute direction_ghost4 {West,Stop,East,North,South}
@attribute best_dir_to_g1 {West,East,North,South,None}
@attribute best_dir_to_g2 {West,East,North,South,None}
@attribute best_dir_to_g3 {West,East,North,South,None}
@attribute best_dir_to_g4 {West,East,North,South,None}
@attribute direction {West,East,North,South}

@data
T,T,T,T,T,T,T,T,3,2,1,0,West,South,East,North,West,North,East,North,North
T,T,T,T,T,T,T,T,3,1,2,0,South,East,East,North,West,West,East,North,North
T,T,T,T,T,T,T,T,3,1,2,0,West,North,West,South,West,West,East,North,North
T,T,T,T,T,T,T,F,2,0,1,3,North,East,North,Stop,West,West,East,None,South
T,T,T,T,T,T,T,F,2,1,0,3,North,North,West,Stop,West,North,East,None,South
T,T,T,T,T,T,T,F,2,1,0,3,North,North,South,Stop,West,North,East,None,South
T,T,T,T,T,T,T,F,2,1,0,3,North,North,South,Stop,West,North,East,None,East
T,T,T,T,T,T,T,F,2,1,0,3,North,South,West,Stop,West,North,West,None,South
T,T,T,T,T,T,T,F,2,1,0,3,East,South,South,Stop,West,North,West,None,South
T,T,T,T,T,T,T,F,2,1,0,3,West,South,South,Stop,West,North,West,None,South
T,T,T,T,T,T,T,F,1,2,0,3,East,South,South,Stop,West,North,West,None,South
T,T,T,T,T,T,T,F,1,2,0,3,East,South,South,Stop,North,North,West,None,South
T,T,T,T,T,T,F,F,0,1,2,3,East,West,Stop,Stop,North,North,None,None,West
T,T,T,T,T,T,F,F,0,1,2,3,North,East,Stop,Stop,North,North,None,None,North
T,T,T,T,T,T,F,F,1,0,2,3,West,East,Stop,Stop,North,North,None,None,West
T,T,T,T,T,T,F,F,1,0,2,3,West,East,Stop,Stop,North,North,None,None,North
T,T,T,T,T,T,F,F,1,0,2,3,West,East,Stop,Stop,North,North,None,None,West
T,T,T,T,T,T,F,F,1,0,2,3,West,East,Stop,Stop,North,North,None,None,West
T,T,T,T,T,T,F,F,1,0,2,3,North,West,Stop,Stop,North,North,None,None,West
T,T,T,T,T,T,F,F,1,0,2,3,East,North,Stop,Stop,North,North,None,None,North
T,T,T,T,T,T,F,F,1,0,2,3,South,South,Stop,Stop,West,North,None,None,North
T,T,T,T,T,F,F,F,0,1,2,3,East,Stop,Stop,Stop,West,None,None,None,West
